Wide entryway,5.86
Single level home,5.44
Suitable for events,5.43
Elevator,5.12
Gym,5.01
Doorman,4.91
TV,4.9
Host greets you,4.89
Elevator in building,4.88
Cable TV,4.85
Stair gates,4.83
Pets allowed,4.78
translation missing: en.hosting_amenity_50,4.75
Family/kid friendly,4.74
,4.73
Free parking on premises,4.72
Essentials,4.71
Smoking allowed,4.68
Carbon monoxide detector,4.65
Wheelchair accessible,4.65
Air conditioning,4.64
Washer,4.6
Pool,4.6
First aid kit,4.58
Stove,4.58
Buzzer/wireless intercom,4.57
Kitchen,4.56
Self Check-In,4.53
Internet,4.49
Smoke detector,4.48
Pets live on this property,4.42
Wireless Internet,4.41
Shampoo,4.39
Heating,4.3
translation missing: en.hosting_amenity_49,4.26
Breakfast,3.95
Lock on bedroom door,3.91
Laptop friendly workspace,3.81
Fire extinguisher,2.48
